+------------+-----------+---------+------------+--------------+
| GRASS_DATE | mfu_churn | mfu_new | mfu_retain | mfu_reactive |
+------------+-----------+---------+------------+--------------+
| 2025-01-31 |   7195773 |  186864 |    1817835 |       278799 |
| 2025-02-28 |   7423713 |  155361 |    1872388 |       229981 |
| 2025-03-31 |   7580695 |   98681 |    1864178 |       201166 |
| 2025-04-30 |   7781477 |   84915 |    1796577 |       217087 |
| 2025-05-31 |   7930660 |  112897 |    1776572 |       224294 |
| 2025-06-30 |   8054819 |  107187 |    1782228 |       223860 |
| 2025-07-31 |   8032718 |  160853 |    1782714 |       300482 |
| 2025-08-31 |   8139722 |  119521 |    1853373 |       238902 |
| 2025-09-30 |   8285750 |  126886 |    1850255 |       254993 |
| 2025-10-31 |   8430825 |  121745 |    1889819 |       258766 |
| 2025-11-30 |   8626611 |  121627 |    1911470 |       249370 |
| 2025-12-31 |   8709656 |  124529 |    1936004 |       274235 |
| 2026-01-31 |   9152516 |  115731 |    1974429 |       263624 |
| 2026-02-28 |   8875516 |  109639 |    1996245 |       293802 |
| 2026-03-09 |   9113510 |   29273 |    1906681 |        78865 |
+------------+-----------+---------+------------+--------------+
