+---------+-----------------+-----------------+----------------+----------+
|  month  | active_co_gmv_B | active_co_users | total_ci_gmv_B | ci_users |
+---------+-----------------+-----------------+----------------+----------+
| 2025-01 |         11837.0 |         2933021 |        12803.0 |  2763121 |
| 2025-02 |          9684.0 |         2651827 |         9887.0 |  2377966 |
| 2025-03 |         10912.0 |         2538561 |        10943.0 |  2148269 |
| 2025-06 |         12743.0 |         2649166 |        12961.0 |  2383978 |
| 2025-09 |         12739.0 |         2700268 |        12782.0 |  2531914 |
| 2025-12 |         16347.0 |         2844953 |        16436.0 |  2469909 |
| 2026-01 |         17354.0 |         2822693 |        17552.0 |  2467481 |
| 2026-02 |         16495.0 |         2761529 |        17287.0 |  2520182 |
| 2026-03 |          4960.0 |         1787602 |         4751.0 |  1513355 |
+---------+-----------------+-----------------+----------------+----------+
