+---------+----------------+----------+-----------+-----------+--------------+
|  month  |      TIER      | cashin_B | cashout_B | netcash_B | unique_users |
+---------+----------------+----------+-----------+-----------+--------------+
| 2025-01 |                |   3798.0 |    3824.0 |     -25.0 |       720455 |
| 2025-02 |                |   2264.0 |    2578.0 |    -314.0 |       499484 |
| 2025-03 |                |   2522.0 |    2929.0 |    -408.0 |       487008 |
| 2025-04 |                |   2644.0 |    2873.0 |    -230.0 |       498772 |
| 2025-05 | NULL           |      0.0 |       0.0 |      -0.0 |            9 |
| 2025-05 |                |   2176.0 |    2406.0 |    -230.0 |       451596 |
| 2025-06 |                |   2234.0 |    2437.0 |    -203.0 |       473257 |
| 2025-07 |                |   3789.0 |    3906.0 |    -116.0 |       900303 |
| 2025-08 |                |   2900.0 |    3183.0 |    -283.0 |       731277 |
| 2025-09 |                |   3187.0 |    3519.0 |    -332.0 |      1016435 |
| 2025-10 |                |   3582.0 |    3808.0 |    -227.0 |       849482 |
| 2025-11 | NULL           |     46.0 |      30.0 |      17.0 |        11385 |
| 2025-11 |                |   3329.0 |    3584.0 |    -254.0 |       878328 |
| 2025-12 | NULL           |     41.0 |      25.0 |      15.0 |         5991 |
| 2025-12 |                |   3812.0 |    4063.0 |    -251.0 |       891830 |
| 2026-01 | NULL           |   1175.0 |    1055.0 |     120.0 |       435330 |
| 2026-01 | 0. Silver LX26 |    451.0 |     451.0 |      -0.0 |       589025 |
| 2026-01 | 1. Silver      |   1406.0 |    1427.0 |     -21.0 |       306535 |
| 2026-01 | 2. Gold        |   1150.0 |    1117.0 |      33.0 |       620987 |
| 2026-01 | 3. Platinum    |    898.0 |    1288.0 |    -391.0 |        45266 |
| 2026-02 | NULL           |    103.0 |      78.0 |      25.0 |        24754 |
| 2026-02 | 1. Silver      |   1712.0 |    1720.0 |      -8.0 |       449106 |
| 2026-02 | 2. Gold        |    210.0 |     210.0 |       0.0 |        12749 |
| 2026-02 | 3. Platinum    |    987.0 |    1221.0 |    -234.0 |        49960 |
| 2026-03 | 1. Silver      |    799.0 |     839.0 |     -40.0 |       530885 |
| 2026-03 | 2. Gold        |     69.0 |      73.0 |      -4.0 |         7564 |
| 2026-03 | 3. Platinum    |    288.0 |     462.0 |    -174.0 |        48347 |
+---------+----------------+----------+-----------+-----------+--------------+
