+------+-------------------+----------+-----------+-----------+--------------+----------+--------------+------------+
|  yr  |   PLUS_SEGMENT    | cashin_B | cashout_B | netcash_B | unique_users | co_p2p_B | co_payment_B | co_napas_B |
+------+-------------------+----------+-----------+-----------+--------------+----------+--------------+------------+
| 2025 | Non TTT+          |    866.0 |    1004.0 |    -138.0 |       467484 |    359.0 |        150.0 |      185.0 |
| 2026 | Balance 50M+      |    235.0 |     400.0 |    -165.0 |        39018 |    180.0 |         53.0 |      109.0 |
| 2026 | Vipzone Telco     |    523.0 |     555.0 |     -31.0 |       479633 |    373.0 |        123.0 |       18.0 |
| 2026 | Vipzone P2P       |    281.0 |     300.0 |     -18.0 |        54065 |    223.0 |         60.0 |        5.0 |
| 2026 | Mission           |     54.0 |      59.0 |      -5.0 |         5079 |     33.0 |         14.0 |        8.0 |
| 2026 | 1. Silver - Buy   |     14.0 |      17.0 |      -2.0 |         4449 |      5.0 |          1.0 |        8.0 |
| 2026 | 2. Gold - Buy     |     16.0 |      16.0 |      -0.0 |         2709 |      9.0 |          2.0 |        4.0 |
| 2026 | 3. Platinum - Buy |     21.0 |      20.0 |       1.0 |         1843 |      8.0 |          7.0 |        4.0 |
| 2026 | Non TTT+          |     12.0 |       8.0 |       4.0 |         6616 |      5.0 |          2.0 |        0.0 |
+------+-------------------+----------+-----------+-----------+--------------+----------+--------------+------------+
