snap_date,PLUS_SEGMENT,aum_ty,user_count,aum_per_user_trieu
2025-10-31,Non TTT+,4861.1187174190181,821628,5.9164472454918995
2025-11-30,Non TTT+,4654.3960904227079,848067,5.4882410121166227
2025-12-31,Non TTT+,4993.9473204302194,858230,5.8188915796816936
2026-01-31,1. Silver - Buy,21.5883163104,3503,6.1628079675706537
2026-01-31,2. Gold - Buy,11.95781822,1486,8.04698399730821
2026-01-31,3. Platinum - Buy,17.002583836,814,20.887695130221129
2026-01-31,Balance 50M+,3715.4458393589093,42425,87.5768023419896
2026-01-31,LX26,565.39371248139992,400713,1.4109692285536028
2026-01-31,Mission,13.8340226234,1394,9.9239760569583915
2026-01-31,Vipzone Billpay,464.65944636620003,423058,1.0983350896713926
2026-01-31,Vipzone P2P,177.18330953411,45968,3.8544924628896191
2026-01-31,Vipzone Telco,101.5571127982,194269,0.52276540672057814
2026-02-28,1. Silver - Buy,39.221986116400004,10736,3.6533146531669152
2026-02-28,2. Gold - Buy,27.1113982884,7878,3.4414062310738767
2026-02-28,3. Platinum - Buy,30.747664839,5025,6.11893827641791
2026-02-28,Balance 50M+,3838.7168952581092,42241,90.876562942593921
2026-02-28,Mission,48.659464074,3035,16.032772347281714
2026-02-28,Vipzone P2P,196.01351618931002,49946,3.9245087932829459
2026-02-28,Vipzone Telco,163.775980106,286411,0.57182154353708481
2026-03-09,1. Silver - Buy,15.1217800152,3710,4.07595148657682
2026-03-09,2. Gold - Buy,10.838009068599998,2408,4.5008343308139525
2026-03-09,3. Platinum - Buy,12.1440130542,1671,7.2675123005386
2026-03-09,Balance 50M+,3846.9754469253089,38660,99.50790085166345
2026-03-09,Mission,71.7888321484,4911,14.617966228548159
2026-03-09,Vipzone P2P,208.8183072278,51030,4.0920695125965123
2026-03-09,Vipzone Telco,668.71526857520007,369793,1.8083502623770598
