+---------+----------------+-----------------+------------+--------------+
|  month  | total_cashin_B | total_cashout_B | net_cash_B | unique_users |
+---------+----------------+-----------------+------------+--------------+
| 2025-01 |        12803.0 |         11837.0 |      966.0 |     10604926 |
| 2025-02 |         9887.0 |          9684.0 |      203.0 |     10450058 |
| 2025-03 |        10943.0 |         10912.0 |       31.0 |     10664958 |
| 2025-04 |        11446.0 |         11131.0 |      314.0 |     10424948 |
| 2025-05 |        12993.0 |         12836.0 |      157.0 |     10431127 |
| 2025-06 |        12961.0 |         12743.0 |      218.0 |     10558703 |
| 2025-07 |        12665.0 |         12643.0 |       23.0 |     10554644 |
| 2025-08 |        12804.0 |         12620.0 |      184.0 |     10641994 |
| 2025-09 |        12782.0 |         12739.0 |       43.0 |     14126010 |
| 2025-10 |        14169.0 |         14184.0 |      -16.0 |     10779581 |
| 2025-11 |        14692.0 |         14537.0 |      154.0 |     10996198 |
| 2025-12 |        16436.0 |         16347.0 |       89.0 |     11123926 |
| 2026-01 |        17552.0 |         17354.0 |      198.0 |     11582313 |
| 2026-02 |        17287.0 |         16495.0 |      791.0 |     11362307 |
| 2026-03 |         4751.0 |          4960.0 |     -209.0 |     11255194 |
+---------+----------------+-----------------+------------+--------------+
