+---------+----------+----------------+-----------------+------------+--------------+
|  month  |   TYPE   | total_cashin_B | total_cashout_B | net_cash_B | unique_users |
+---------+----------+----------------+-----------------+------------+--------------+
| 2025-01 | Merchant |          649.0 |           623.0 |       26.0 |         9122 |
| 2025-01 | Quỹ Nhóm |          464.0 |           331.0 |      133.0 |       227648 |
| 2025-01 | TTT      |         7892.0 |          7059.0 |      833.0 |      9874229 |
| 2025-01 | TTT+     |         3798.0 |          3824.0 |      -25.0 |       720455 |
| 2025-02 | NULL     |            0.0 |             0.0 |       -0.0 |            0 |
| 2025-02 | Merchant |          236.0 |           227.0 |        9.0 |         7829 |
| 2025-02 | Quỹ Nhóm |          536.0 |           412.0 |      125.0 |       266842 |
| 2025-02 | TTT      |         6851.0 |          6468.0 |      383.0 |      9940884 |
| 2025-02 | TTT+     |         2264.0 |          2578.0 |     -314.0 |       499484 |
| 2025-03 | Merchant |          583.0 |           577.0 |        7.0 |        10079 |
| 2025-03 | Quỹ Nhóm |          665.0 |           558.0 |      107.0 |       298622 |
| 2025-03 | TTT      |         7174.0 |          6849.0 |      325.0 |     10164855 |
| 2025-03 | TTT+     |         2522.0 |          2929.0 |     -408.0 |       487008 |
| 2025-04 | NULL     |            0.0 |             0.0 |        0.0 |            0 |
| 2025-04 | Merchant |          653.0 |           656.0 |       -3.0 |        11416 |
| 2025-04 | Quỹ Nhóm |          829.0 |           690.0 |      139.0 |       372290 |
| 2025-04 | TTT      |         7321.0 |          6912.0 |      408.0 |      9908370 |
| 2025-04 | TTT+     |         2644.0 |          2873.0 |     -230.0 |       498772 |
| 2025-05 | Merchant |          652.0 |           654.0 |       -2.0 |        11877 |
| 2025-05 | Quỹ Nhóm |          966.0 |           846.0 |      120.0 |       439607 |
| 2025-05 | TTT      |         9199.0 |          8930.0 |      269.0 |      9958318 |
| 2025-05 | TTT+     |         2176.0 |          2406.0 |     -230.0 |       451605 |
| 2025-06 | Merchant |          713.0 |           724.0 |      -10.0 |        13638 |
| 2025-06 | Quỹ Nhóm |         1037.0 |           934.0 |      103.0 |       482074 |
| 2025-06 | TTT      |         8976.0 |          8648.0 |      328.0 |     10058991 |
| 2025-06 | TTT+     |         2234.0 |          2437.0 |     -203.0 |       473257 |
| 2025-07 | NULL     |            0.0 |             0.0 |        0.0 |            0 |
| 2025-07 | Merchant |          620.0 |           626.0 |       -6.0 |        14195 |
| 2025-07 | Quỹ Nhóm |         1133.0 |          1055.0 |       78.0 |       766562 |
| 2025-07 | TTT      |         7122.0 |          7055.0 |       67.0 |      9624067 |
| 2025-07 | TTT+     |         3789.0 |          3906.0 |     -116.0 |       900303 |
| 2025-08 | Merchant |          612.0 |           601.0 |       11.0 |        14874 |
| 2025-08 | Quỹ Nhóm |         1267.0 |          1160.0 |      108.0 |      1221595 |
| 2025-08 | TTT      |         8025.0 |          7676.0 |      349.0 |      9866166 |
| 2025-08 | TTT+     |         2900.0 |          3183.0 |     -283.0 |       731277 |
| 2025-09 | NULL     |            0.0 |             0.0 |        0.0 |            0 |
| 2025-09 | Merchant |          599.0 |           604.0 |       -5.0 |        16026 |
| 2025-09 | Quỹ Nhóm |         1381.0 |          1264.0 |      117.0 |      1445403 |
| 2025-09 | TTT      |         7615.0 |          7352.0 |      263.0 |     13030329 |
| 2025-09 | TTT+     |         3187.0 |          3519.0 |     -332.0 |      1016435 |
| 2025-10 | Merchant |          697.0 |           688.0 |        9.0 |        18491 |
| 2025-10 | Quỹ Nhóm |         1587.0 |          1514.0 |       74.0 |      1491704 |
| 2025-10 | TTT      |         8303.0 |          8174.0 |      129.0 |      9835909 |
| 2025-10 | TTT+     |         3582.0 |          3808.0 |     -227.0 |       849482 |
| 2025-11 | NULL     |           77.0 |            67.0 |       10.0 |            0 |
| 2025-11 | Merchant |          801.0 |           774.0 |       27.0 |        25235 |
| 2025-11 | Quỹ Nhóm |         1652.0 |          1580.0 |       72.0 |      1522778 |
| 2025-11 | TTT      |         8786.0 |          8502.0 |      284.0 |     10017458 |
| 2025-11 | TTT+     |         3376.0 |          3613.0 |     -238.0 |       878328 |
| 2025-12 | Merchant |         1007.0 |           995.0 |       12.0 |        32060 |
| 2025-12 | Quỹ Nhóm |         1934.0 |          1846.0 |       88.0 |      1586061 |
| 2025-12 | TTT      |         9643.0 |          9418.0 |      225.0 |     10123643 |
| 2025-12 | TTT+     |         3852.0 |          4088.0 |     -236.0 |       891830 |
| 2026-01 | Merchant |         1087.0 |          1072.0 |       15.0 |        38147 |
| 2026-01 | Quỹ Nhóm |         2120.0 |          2018.0 |      102.0 |      1623631 |
| 2026-01 | TTT      |         9265.0 |          8925.0 |      340.0 |      9908855 |
| 2026-01 | TTT+     |         5080.0 |          5339.0 |     -259.0 |      1561813 |
| 2026-02 | Merchant |         1069.0 |          1052.0 |       17.0 |        44704 |
| 2026-02 | Quỹ Nhóm |         2089.0 |          1977.0 |      112.0 |      1621156 |
| 2026-02 | TTT      |        11116.0 |         10238.0 |      877.0 |     10720419 |
| 2026-02 | TTT+     |         3013.0 |          3228.0 |     -215.0 |       511815 |
| 2026-03 | Merchant |          295.0 |           301.0 |       -6.0 |        46353 |
| 2026-03 | Quỹ Nhóm |          567.0 |           576.0 |       -9.0 |      1576363 |
| 2026-03 | TTT      |         2732.0 |          2709.0 |       24.0 |     10502195 |
| 2026-03 | TTT+     |         1157.0 |          1374.0 |     -218.0 |       586796 |
+---------+----------+----------------+-----------------+------------+--------------+
