+---------+------------+------------+----------+--------------+------------+---------+-------------+------------+
|  month  | co_thuan_B | co_napas_B | co_p2p_B | co_payment_B | co_stock_B | co_mp_B | co_pay_mp_B | total_co_B |
+---------+------------+------------+----------+--------------+------------+---------+-------------+------------+
| 2025-01 |     4269.0 |     1063.0 |   4785.0 |       1361.0 |       28.0 |   233.0 |        98.0 |    11837.0 |
| 2025-02 |     3364.0 |      867.0 |   3722.0 |       1263.0 |       56.0 |   274.0 |       137.0 |     9684.0 |
| 2025-03 |     3172.0 |      979.0 |   4864.0 |       1263.0 |       77.0 |   345.0 |       212.0 |    10912.0 |
| 2025-04 |     2848.0 |     1019.0 |   5218.0 |       1269.0 |       87.0 |   400.0 |       291.0 |    11131.0 |
| 2025-05 |     2743.0 |      934.0 |   6912.0 |       1322.0 |       79.0 |   482.0 |       364.0 |    12836.0 |
| 2025-06 |     2686.0 |      830.0 |   6830.0 |       1383.0 |       80.0 |   542.0 |       392.0 |    12743.0 |
| 2025-07 |     2660.0 |      851.0 |   6342.0 |       1594.0 |      141.0 |   604.0 |       451.0 |    12643.0 |
| 2025-08 |     1992.0 |      797.0 |   6357.0 |       2167.0 |      147.0 |   658.0 |       502.0 |    12620.0 |
| 2025-09 |     1861.0 |      768.0 |   6487.0 |       2245.0 |      114.0 |   721.0 |       542.0 |    12739.0 |
| 2025-10 |     1806.0 |      925.0 |   7268.0 |       2543.0 |      129.0 |   777.0 |       737.0 |    14184.0 |
| 2025-11 |     1622.0 |      858.0 |   7806.0 |       2593.0 |       78.0 |   761.0 |       819.0 |    14537.0 |
| 2025-12 |     1749.0 |      952.0 |   8848.0 |       2849.0 |      103.0 |   821.0 |      1024.0 |    16347.0 |
| 2026-01 |     1721.0 |     1049.0 |   9446.0 |       2977.0 |      144.0 |   877.0 |      1141.0 |    17354.0 |
| 2026-02 |     1725.0 |      856.0 |   8855.0 |       2987.0 |       95.0 |   879.0 |      1098.0 |    16495.0 |
| 2026-03 |      497.0 |      253.0 |   2581.0 |        994.0 |       59.0 |   244.0 |       332.0 |     4960.0 |
+---------+------------+------------+----------+--------------+------------+---------+-------------+------------+
