+---------+------------+----------+---------+---------+------------+-------------+---------+----------------+------------+
|  month  | ci_thuan_B | ci_p2p_B | ci_va_B | ci_ai_B | ci_stock_B | ci_payout_B | ci_mp_B | ci_mp_active_B | total_ci_B |
+---------+------------+----------+---------+---------+------------+-------------+---------+----------------+------------+
| 2025-01 |     7423.0 |   2930.0 |  1247.0 |   113.0 |       16.0 |       610.0 |   371.0 |           93.0 |    12803.0 |
| 2025-02 |     5522.0 |   2245.0 |  1073.0 |    98.0 |       32.0 |       381.0 |   433.0 |          103.0 |     9887.0 |
| 2025-03 |     5695.0 |   2462.0 |  1367.0 |   111.0 |       44.0 |       601.0 |   583.0 |           82.0 |    10943.0 |
| 2025-04 |     5691.0 |   2566.0 |  1471.0 |   108.0 |       52.0 |       729.0 |   785.0 |           44.0 |    11446.0 |
| 2025-05 |     5834.0 |   3841.0 |  1400.0 |   110.0 |       53.0 |       789.0 |   930.0 |           36.0 |    12993.0 |
| 2025-06 |     6044.0 |   3586.0 |  1453.0 |   103.0 |       58.0 |       679.0 |  1007.0 |           30.0 |    12961.0 |
| 2025-07 |     6524.0 |   2771.0 |  1466.0 |   100.0 |       97.0 |       575.0 |  1103.0 |           30.0 |    12665.0 |
| 2025-08 |     6506.0 |   2740.0 |  1519.0 |   103.0 |      103.0 |       566.0 |  1236.0 |           31.0 |    12804.0 |
| 2025-09 |     6422.0 |   2709.0 |  1565.0 |    90.0 |       67.0 |       548.0 |  1349.0 |           32.0 |    12782.0 |
| 2025-10 |     6995.0 |   2983.0 |  1811.0 |    77.0 |       81.0 |       635.0 |  1540.0 |           47.0 |    14169.0 |
| 2025-11 |     6899.0 |   3049.0 |  2231.0 |    75.0 |       54.0 |       733.0 |  1585.0 |           66.0 |    14692.0 |
| 2025-12 |     7434.0 |   3409.0 |  2597.0 |    80.0 |       67.0 |       915.0 |  1865.0 |           68.0 |    16436.0 |
| 2026-01 |     7720.0 |   3554.0 |  2961.0 |    85.0 |       94.0 |      1019.0 |  2036.0 |           84.0 |    17552.0 |
| 2026-02 |     7751.0 |   3854.0 |  2477.0 |    81.0 |       65.0 |       970.0 |  1973.0 |          116.0 |    17287.0 |
| 2026-03 |     2088.0 |   1148.0 |   647.0 |    19.0 |       19.0 |       262.0 |   528.0 |           39.0 |     4751.0 |
+---------+------------+----------+---------+---------+------------+-------------+---------+----------------+------------+
