+---------+---------+---------+----------+---------+---------+----------+
| day_num | ci_2025 | co_2025 | net_2025 | ci_2026 | co_2026 | net_2026 |
+---------+---------+---------+----------+---------+---------+----------+
|       1 |   406.0 |   405.0 |      1.0 |   589.0 |   639.0 |    -50.0 |
|       2 |   341.0 |   378.0 |    -37.0 |     0.0 |     0.0 |      0.0 |
|       3 |   421.0 |   444.0 |    -23.0 |   592.0 |   663.0 |    -71.0 |
|       4 |   392.0 |   400.0 |     -8.0 |   566.0 |   621.0 |    -55.0 |
|       5 |   550.0 |   442.0 |    108.0 |   790.0 |   680.0 |    110.0 |
|       6 |   431.0 |   389.0 |     42.0 |   645.0 |   598.0 |     47.0 |
|       7 |   419.0 |   393.0 |     26.0 |   501.0 |   551.0 |    -50.0 |
|       8 |   336.0 |   378.0 |    -42.0 |   480.0 |   576.0 |    -96.0 |
|       9 |   296.0 |   335.0 |    -39.0 |   587.0 |   632.0 |    -45.0 |
+---------+---------+---------+----------+---------+---------+----------+
