+------------+----------+----------+-----------+------------+--------------+
| GRASS_DATE |   TYPE   | cashin_B | cashout_B | net_cash_B | unique_users |
+------------+----------+----------+-----------+------------+--------------+
| 2026-03-01 | Merchant |     39.0 |      39.0 |       -0.0 |        46316 |
| 2026-03-01 | Quỹ Nhóm |     71.0 |      81.0 |      -11.0 |      1556434 |
| 2026-03-01 | TTT      |    326.0 |     336.0 |      -11.0 |     10475209 |
| 2026-03-01 | TTT+     |    155.0 |     183.0 |      -28.0 |       586796 |
| 2026-03-02 | Merchant |      0.0 |       0.0 |        0.0 |        46317 |
| 2026-03-02 | Quỹ Nhóm |      0.0 |       0.0 |        0.0 |      1552545 |
| 2026-03-02 | TTT      |      0.0 |       0.0 |        0.0 |     10476096 |
| 2026-03-02 | TTT+     |      0.0 |       0.0 |        0.0 |       586796 |
| 2026-03-03 | Merchant |     34.0 |      39.0 |       -5.0 |        46318 |
| 2026-03-03 | Quỹ Nhóm |     70.0 |      77.0 |       -7.0 |      1557414 |
| 2026-03-03 | TTT      |    343.0 |     358.0 |      -16.0 |     10479681 |
| 2026-03-03 | TTT+     |    146.0 |     188.0 |      -43.0 |       586796 |
| 2026-03-04 | Merchant |     34.0 |      38.0 |       -4.0 |        46328 |
| 2026-03-04 | Quỹ Nhóm |     65.0 |      72.0 |       -6.0 |      1555724 |
| 2026-03-04 | TTT      |    326.0 |     336.0 |      -10.0 |     10483173 |
| 2026-03-04 | TTT+     |    141.0 |     175.0 |      -33.0 |       586796 |
| 2026-03-05 | Merchant |     37.0 |      40.0 |       -3.0 |        46329 |
| 2026-03-05 | Quỹ Nhóm |    104.0 |      75.0 |       28.0 |      1555285 |
| 2026-03-05 | TTT      |    460.0 |     376.0 |       85.0 |     10485802 |
| 2026-03-05 | TTT+     |    189.0 |     189.0 |        0.0 |       586796 |
| 2026-03-06 | Merchant |     36.0 |      36.0 |        0.0 |        46335 |
| 2026-03-06 | Quỹ Nhóm |     80.0 |      66.0 |       14.0 |      1555799 |
| 2026-03-06 | TTT      |    375.0 |     330.0 |       45.0 |     10488810 |
| 2026-03-06 | TTT+     |    154.0 |     167.0 |      -13.0 |       586796 |
| 2026-03-07 | Merchant |     38.0 |      32.0 |        6.0 |        46337 |
| 2026-03-07 | Quỹ Nhóm |     56.0 |      65.0 |       -9.0 |      1553358 |
| 2026-03-07 | TTT      |    287.0 |     306.0 |      -19.0 |     10491117 |
| 2026-03-07 | TTT+     |    119.0 |     147.0 |      -28.0 |       586796 |
| 2026-03-08 | Merchant |     42.0 |      33.0 |        9.0 |        46337 |
| 2026-03-08 | Quỹ Nhóm |     52.0 |      70.0 |      -18.0 |      1552305 |
| 2026-03-08 | TTT      |    272.0 |     323.0 |      -50.0 |     10493644 |
| 2026-03-08 | TTT+     |    114.0 |     150.0 |      -37.0 |       586796 |
| 2026-03-09 | Merchant |     35.0 |      43.0 |       -9.0 |        46336 |
| 2026-03-09 | Quỹ Nhóm |     71.0 |      70.0 |        1.0 |      1551668 |
| 2026-03-09 | TTT      |    343.0 |     344.0 |       -1.0 |     10495197 |
| 2026-03-09 | TTT+     |    138.0 |     175.0 |      -37.0 |       586796 |
+------------+----------+----------+-----------+------------+--------------+
