+------------+-------------+--------------+--------------+
| GRASS_DATE | total_aum_B | individual_B | money_pool_B |
+------------+-------------+--------------+--------------+
| 2025-01-31 |      9183.0 |       8875.0 |        308.0 |
| 2025-02-28 |      9427.0 |       8994.0 |        433.0 |
| 2025-03-31 |      9501.0 |       8968.0 |        533.0 |
| 2025-04-30 |      9890.0 |       9206.0 |        684.0 |
| 2025-05-31 |     10097.0 |       9289.0 |        808.0 |
| 2025-06-30 |     10383.0 |       9477.0 |        905.0 |
| 2025-07-31 |     10473.0 |       9475.0 |        998.0 |
| 2025-08-31 |     10719.0 |       9613.0 |       1106.0 |
| 2025-09-30 |     10850.0 |       9613.0 |       1237.0 |
| 2025-10-31 |     10904.0 |       9581.0 |       1324.0 |
| 2025-11-30 |     11125.0 |       9725.0 |       1400.0 |
| 2025-12-31 |     11297.0 |       9796.0 |       1501.0 |
| 2026-01-31 |     11573.0 |       9954.0 |       1619.0 |
| 2026-02-28 |     12457.0 |      10706.0 |       1750.0 |
| 2026-03-09 |     12181.0 |      10465.0 |       1716.0 |
+------------+-------------+--------------+--------------+
