+------------+----------+--------+----------+
| GRASS_DATE |   TYPE   | aum_B  |  users   |
+------------+----------+--------+----------+
| 2025-01-31 | Merchant |  111.0 |     9122 |
| 2025-01-31 | Quỹ Nhóm |  308.0 |   206803 |
| 2025-01-31 | TTT      | 3700.0 |  8836117 |
| 2025-01-31 | TTT+     | 5063.0 |   688503 |
| 2025-06-30 | Merchant |  120.0 |    13611 |
| 2025-06-30 | Quỹ Nhóm |  905.0 |   458051 |
| 2025-06-30 | TTT      | 5006.0 |  9708679 |
| 2025-06-30 | TTT+     | 4351.0 |   460520 |
| 2025-12-31 | Merchant |  201.0 |    32056 |
| 2025-12-31 | Quỹ Nhóm | 1501.0 |  1492562 |
| 2025-12-31 | TTT      | 4601.0 | 10120756 |
| 2025-12-31 | TTT+     | 4994.0 |   891612 |
| 2026-01-31 | Merchant |  215.0 |    38135 |
| 2026-01-31 | Quỹ Nhóm | 1619.0 |  1554285 |
| 2026-01-31 | TTT      | 4650.0 |  9906352 |
| 2026-01-31 | TTT+     | 5089.0 |  1561813 |
| 2026-02-28 | Merchant |  251.0 |    44703 |
| 2026-02-28 | Quỹ Nhóm | 1750.0 |  1571384 |
| 2026-02-28 | TTT      | 6111.0 | 10718684 |
| 2026-02-28 | TTT+     | 4344.0 |   511815 |
| 2026-03-09 | Merchant |  245.0 |    46336 |
| 2026-03-09 | Quỹ Nhóm | 1716.0 |  1551668 |
| 2026-03-09 | TTT      | 5385.0 | 10495197 |
| 2026-03-09 | TTT+     | 4834.0 |   586796 |
+------------+----------+--------+----------+
