+---------+---------+---------+---------+--------------+
|  month  |   mau   |   mfu   | mau_new | mau_reactive |
+---------+---------+---------+---------+--------------+
| 2025-01 | 3247552 | 2338395 |  293364 |       743174 |
| 2025-02 | 2904268 | 2335139 |  222838 |       521215 |
| 2025-03 | 2723987 | 2258779 |  146647 |       546239 |
| 2025-04 | 2597053 | 2219380 |  121739 |       532560 |
| 2025-05 | 2743059 | 2261446 |  211487 |       612506 |
| 2025-06 | 2857439 | 2274064 |  191262 |       658292 |
| 2025-07 | 3116574 | 2422111 |  254085 |       783382 |
| 2025-08 | 3086244 | 2413928 |  226242 |       683484 |
| 2025-09 | 3009282 | 2463031 |  201256 |       666207 |
| 2025-10 | 2915868 | 2518284 |  174243 |       623493 |
| 2025-11 | 2914881 | 2533986 |  187294 |       620468 |
| 2025-12 | 3012444 | 2595680 |  183700 |       663463 |
| 2026-01 | 2998000 | 2621943 |  169359 |       624203 |
| 2026-02 | 3012756 | 2650085 |  152819 |       670381 |
| 2026-03 | 2028885 | 2260810 |   50018 |       259593 |
+---------+---------+---------+---------+--------------+
