+------------+-----------+------------+-------------+-----------+------------+-------------+------------+
| GRASS_DATE | grp_churn | grp_0_300k | grp_300k_3M | grp_3_30M | grp_30_50M | grp_50_100M | grp_gt100M |
+------------+-----------+------------+-------------+-----------+------------+-------------+------------+
| 2025-01-31 |   7195773 |    8462382 |      381458 |    309216 |      38739 |       30076 |      11632 |
| 2025-03-31 |   7580695 |    8676845 |      359304 |    297548 |      38173 |       30610 |      12454 |
| 2025-06-30 |   8054819 |    9035979 |      366339 |    300197 |      38629 |       32213 |      14372 |
| 2025-09-30 |   8285750 |    9410348 |      374320 |    303842 |      38774 |       31768 |      14827 |
| 2025-12-31 |   8709656 |    9867930 |      387507 |    317752 |      39048 |       31794 |      14649 |
| 2026-01-31 |   9152516 |    9928055 |      389655 |    324998 |      39790 |       32195 |      14714 |
| 2026-02-28 |   8875516 |    9952360 |      406526 |    353128 |      42413 |       34738 |      15911 |
| 2026-03-09 |   9113510 |    9974550 |      413311 |    344778 |      40987 |       33974 |      15529 |
+------------+-----------+------------+-------------+-----------+------------+-------------+------------+
