+------------+----------+-----------+------------+----------+
| week_start | cashin_B | cashout_B | net_cash_B |  users   |
+------------+----------+-----------+------------+----------+
| 2025-12-29 |   3767.0 |    3798.0 |      -31.0 | 11425701 |
| 2026-01-05 |   4824.0 |    4223.0 |      600.0 | 11257068 |
| 2026-01-12 |   4017.0 |    3961.0 |       56.0 | 11359893 |
| 2026-01-19 |   3427.0 |    3713.0 |     -286.0 | 11573187 |
| 2026-01-26 |   3895.0 |    3952.0 |      -56.0 | 11639224 |
| 2026-02-02 |   4804.0 |    4576.0 |      228.0 | 11191597 |
| 2026-02-09 |   6106.0 |    5252.0 |      854.0 | 11307280 |
| 2026-02-16 |   2611.0 |    2667.0 |      -56.0 | 11318680 |
| 2026-02-23 |   3731.0 |    3977.0 |     -246.0 | 11480008 |
| 2026-03-02 |   3575.0 |    3688.0 |     -114.0 | 11249151 |
| 2026-03-09 |    587.0 |     632.0 |      -45.0 | 11249331 |
+------------+----------+-----------+------------+----------+
